ZAMAN          VOLTAJ
------------------------------
0.6332         0.0795
1.4904         0.0803
2.3472         0.0802
3.2039         0.0800
4.0610         0.0802
4.9179         0.0807
***************************
0.6332         0.0795
1.4904         0.0803
2.3472         0.0802
3.2039         0.0800
4.0610         0.0802
4.9179         0.0807
***************************
0.6619         0.1000
1.4118         0.0999
2.1618         0.1001
2.9115         0.1005
3.6610         0.0993
4.4108         0.0997
