ZAMAN          VOLTAJ
------------------------------
10.3326        0.1081
10.8326        0.1089
11.3323        0.1089
11.8321        0.1089
12.3321        0.1087
12.8320        0.1090
13.3319        0.1090
13.8315        0.1092
14.3315        0.1087
14.8311        0.1091
***************************
10.3326        0.1081
10.8326        0.1089
11.3323        0.1089
11.8321        0.1089
12.3321        0.1087
12.8320        0.1090
13.3319        0.1090
13.8315        0.1092
14.3315        0.1087
14.8311        0.1091
***************************
10.1410        0.0803
10.3912        0.0802
10.6409        0.0842
10.8911        0.0806
11.1410        0.0828
11.3910        0.0795
11.6411        0.0793
11.8905        0.0818
12.1408        0.0788
12.3904        0.0834
12.6405        0.0782
12.8905        0.0819
13.1402        0.0798
13.3904        0.0800
13.6400        0.0823
13.8900        0.0799
14.1397        0.0835
14.3901        0.0780
14.6400        0.0825
14.8899        0.0798
